iter	Passed	Remaining
0	60	121657
1	115	115635
2	177	117851
3	239	119652
4	298	119034
5	357	118775
6	415	118249
7	468	116738
8	535	118403
9	580	115434
10	647	117020
11	704	116740
12	770	117800
13	827	117441
14	894	118398
15	955	118486
16	1012	118120
17	1083	119350
18	1149	119810
19	1216	120404
20	1356	127861
21	1425	128159
22	1464	125909
23	1527	125781
24	1580	124866
25	1650	125310
26	1714	125273
27	1778	125263
28	1847	125539
29	1907	125234
30	1978	125648
31	2050	126090
32	2104	125418
33	2159	124869
34	2225	124952
35	2280	124423
36	2339	124113
37	2413	124617
38	2476	124529
39	2535	124218
40	2604	124433
41	2673	124629
42	2736	124539
43	2789	123987
44	2857	124147
45	2919	124016
46	2976	123666
47	3032	123307
48	3087	122925
49	3144	122635
50	3215	122877
51	3277	122767
52	3337	122594
53	3387	122076
54	3453	122139
55	3507	121749
56	3569	121686
57	3621	121266
58	3689	121377
59	3743	121036
60	3805	120965
61	3863	120751
62	3919	120493
63	3980	120411
64	4039	120247
65	4104	120265
66	4163	120108
67	4226	120072
68	4285	119944
69	4343	119761
70	4402	119602
71	4456	119347
72	4521	119350
73	4579	119203
74	4636	118998
75	4695	118858
76	4746	118537
77	4803	118354
78	4852	117992
79	4906	117745
80	4961	117555
81	5030	117671
82	5081	117365
83	5136	117158
84	5199	117139
85	5252	116905
86	5315	116888
87	5373	116751
88	5426	116523
89	5486	116442
90	5548	116405
91	5602	116185
92	5656	115987
93	5720	115992
94	5768	115680
95	5830	115637
96	5899	115741
97	5963	115738
98	6032	115840
99	6093	115785
100	6161	115850
101	6228	115906
102	6325	116501
103	6385	116418
104	6444	116305
105	6509	116319
106	6567	116183
107	6627	116111
108	6683	115952
109	6750	115988
110	6806	115832
111	6871	115836
112	6935	115815
113	6998	115774
114	7059	115719
115	7126	115739
116	7178	115529
117	7241	115495
118	7308	115525
119	7364	115371
120	7434	115449
121	7486	115243
122	7547	115181
123	7605	115059
124	7673	115107
125	7734	115040
126	7794	114954
127	7852	114841
128	7907	114696
129	7971	114667
130	8025	114504
131	8082	114385
132	8151	114429
133	8219	114460
134	8284	114446
135	8342	114340
136	8404	114295
137	8472	114318
138	8524	114134
139	8594	114177
140	8660	114182
141	8716	114051
142	8786	114095
143	8852	114104
144	8915	114061
145	8982	114060
146	9051	114102
147	9116	114078
148	9173	113958
149	9218	113698
150	9286	113716
151	9352	113706
152	9411	113615
153	9474	113566
154	9533	113483
155	9596	113430
156	9661	113412
157	9721	113334
158	9778	113222
159	9838	113146
160	9898	113062
161	9958	112982
162	10020	112927
163	10079	112836
164	10139	112765
165	10199	112687
166	10267	112700
167	10324	112585
168	10380	112465
169	10442	112408
170	10507	112382
171	10569	112335
172	10629	112250
173	10688	112169
174	10735	111954
175	10801	111941
176	10864	111899
177	10921	111790
178	10982	111729
179	11048	111708
180	11112	111673
181	11168	111566
182	11235	111561
183	11306	111589
184	11363	111482
185	11425	111424
186	11488	111380
187	11551	111334
188	11606	111217
189	11674	111219
190	11757	111358
191	11833	111436
192	11896	111387
193	11966	111400
194	12044	111485
195	12106	111426
196	12185	111527
197	12253	111518
198	12329	111583
199	12406	111655
200	12470	111612
201	12534	111567
202	12600	111544
203	12674	111582
204	12740	111559
205	12816	111615
206	12885	111613
207	12942	111502
208	13003	111433
209	13073	111439
210	13149	111491
211	13217	111478
212	13284	111449
213	13359	111498
214	13417	111394
215	13481	111346
216	13562	111435
217	13627	111395
218	13706	111467
219	13804	111694
220	13879	111726
221	13944	111683
222	14010	111644
223	14085	111680
224	14150	111635
225	14211	111553
226	14278	111524
227	14339	111444
228	14408	111431
229	14467	111333
230	14529	111264
231	14583	111137
232	14638	111017
233	14699	110938
234	14767	110911
235	14827	110825
236	14893	110788
237	14950	110682
238	15013	110620
239	15070	110518
240	15140	110505
241	15196	110392
242	15249	110257
243	15307	110163
244	15373	110121
245	15443	110111
246	15504	110040
247	15569	109990
248	15628	109904
249	15681	109768
250	15746	109721
251	15803	109621
252	15872	109601
253	15926	109481
254	15983	109378
255	16046	109313
256	16114	109293
257	16177	109226
258	16238	109153
259	16301	109096
260	16361	109015
261	16426	108969
262	16486	108888
263	16555	108861
264	16630	108883
265	16684	108761
266	16748	108706
267	16813	108661
268	16876	108601
269	16935	108513
270	16997	108442
271	17064	108409
272	17127	108348
273	17194	108311
274	17269	108324
275	17325	108224
276	17385	108141
277	17453	108110
278	17519	108066
279	17580	107992
280	17637	107898
281	17707	107877
282	17765	107785
283	17824	107699
284	17878	107586
285	17937	107501
286	18007	107477
287	18077	107459
288	18147	107439
289	18215	107405
290	18270	107301
291	18341	107285
292	18398	107191
293	18450	107060
294	18507	106964
295	18564	106868
296	18630	106829
297	18692	106760
298	18756	106703
299	18907	107143
300	18980	107137
301	19055	107139
302	19110	107031
303	19183	107021
304	19270	107091
305	19341	107074
306	19425	107125
307	19482	107027
308	19547	106973
309	19616	106941
310	19687	106921
311	19747	106838
312	19813	106792
313	19871	106699
314	19924	106580
315	19986	106511
316	20051	106457
317	20111	106373
318	20181	106347
319	20254	106338
320	20312	106244
321	20385	106230
322	20442	106133
323	20506	106076
324	20569	106012
325	20621	105890
326	20687	105843
327	20750	105776
328	20807	105680
329	20869	105609
330	20927	105521
331	20995	105485
332	21064	105451
333	21117	105335
334	21179	105264
335	21249	105234
336	21311	105166
337	21366	105064
338	21433	105017
339	21500	104973
340	21557	104877
341	21625	104841
342	21694	104803
343	21749	104702
344	21813	104641
345	21868	104540
346	21924	104442
347	21994	104410
348	22051	104316
349	22108	104227
350	22175	104180
351	22241	104128
352	22304	104065
353	22359	103963
354	22420	103890
355	22485	103836
356	22541	103741
357	22608	103697
358	22669	103624
359	22726	103530
360	22801	103522
361	22872	103492
362	22934	103427
363	22997	103360
364	23064	103315
365	23134	103283
366	23202	103242
367	23259	103151
368	23330	103123
369	23396	103069
370	23465	103031
371	23528	102969
372	23586	102881
373	23654	102841
374	23708	102734
375	23775	102688
376	23831	102595
377	23901	102561
378	23962	102490
379	24017	102389
380	24070	102285
381	24126	102191
382	24184	102104
383	24254	102071
384	24314	101993
385	24379	101938
386	24438	101859
387	24492	101758
388	24545	101651
389	24608	101587
390	24664	101497
391	24736	101471
392	24797	101397
393	24861	101339
394	24931	101304
395	25005	101284
396	25064	101205
397	25129	101149
398	25182	101044
399	25244	100978
400	25306	100912
401	25377	100878
402	25449	100849
403	25519	100815
404	25589	100776
405	25666	100769
406	25722	100679
407	25786	100618
408	25857	100586
409	25931	100563
410	25993	100496
411	26058	100440
412	26126	100393
413	26194	100349
414	26254	100274
415	26315	100199
416	26380	100144
417	26453	100117
418	26519	100066
419	26592	100038
420	26661	99995
421	26730	99953
422	26801	99920
423	26866	99863
424	26939	99835
425	27005	99779
426	27075	99740
427	27150	99719
428	27213	99654
429	27289	99639
430	27356	99588
431	27416	99512
432	27489	99483
433	27560	99445
434	27628	99400
435	27695	99346
436	27748	99246
437	27812	99186
438	27871	99105
439	27926	99011
440	27984	98930
441	28056	98895
442	28108	98791
443	28176	98744
444	28244	98696
445	28317	98665
446	28392	98641
447	28452	98567
448	28521	98521
449	28598	98505
450	28670	98471
451	28738	98423
452	28799	98350
453	28866	98299
454	28937	98261
455	29009	98224
456	29082	98192
457	29138	98102
458	29205	98050
459	29263	97970
460	29343	97961
461	29413	97918
462	29480	97864
463	29539	97786
464	29613	97757
465	29678	97696
466	29750	97661
467	29813	97595
468	29879	97538
469	29939	97461
470	30011	97426
471	30071	97349
472	30139	97298
473	30200	97227
474	30271	97186
475	30347	97164
476	30407	97087
477	30471	97024
478	30528	96939
479	30604	96913
480	30670	96859
481	30740	96814
482	30805	96754
483	30881	96727
484	30951	96682
485	31015	96621
486	31078	96554
487	31156	96532
488	31229	96498
489	31306	96475
490	31377	96433
491	31448	96391
492	31518	96344
493	31596	96323
494	31675	96305
495	31750	96276
496	31814	96211
497	31894	96197
498	31961	96141
499	32081	96244
500	32168	96248
501	32234	96189
502	32320	96189
503	32380	96113
504	32453	96076
505	32515	96005
506	32597	95993
507	32661	95926
508	32723	95856
509	32788	95793
510	32848	95716
511	32912	95650
512	32986	95616
513	33050	95551
514	33120	95502
515	33180	95424
516	33251	95381
517	33308	95294
518	33373	95234
519	33443	95184
520	33505	95115
521	33570	95050
522	33636	94992
523	33704	94939
524	33774	94889
525	33836	94818
526	33889	94722
527	33951	94653
528	34019	94598
529	34079	94521
530	34150	94476
531	34208	94396
532	34268	94319
533	34339	94272
534	34406	94216
535	34467	94142
536	34521	94051
537	34584	93981
538	34639	93892
539	34698	93814
540	34758	93739
541	34828	93689
542	34897	93637
543	34956	93561
544	35026	93511
545	35098	93467
546	35160	93396
547	35214	93305
548	35285	93259
549	35354	93207
550	35408	93115
551	35466	93035
552	35541	92998
553	35600	92921
554	35662	92850
555	35725	92784
556	35791	92722
557	35852	92650
558	35915	92582
559	35976	92511
560	36047	92464
561	36109	92392
562	36168	92316
563	36236	92261
564	36299	92195
565	36367	92138
566	36432	92075
567	36493	92003
568	36563	91954
569	36632	91901
570	36688	91818
571	36747	91739
572	36806	91663
573	36869	91595
574	36938	91542
575	37006	91488
576	37072	91427
577	37143	91380
578	37199	91297
579	37263	91232
580	37323	91155
581	37395	91111
582	37459	91046
583	37518	90970
584	37590	90923
585	37660	90872
586	37728	90819
587	37788	90744
588	37843	90658
589	37911	90600
590	37969	90523
591	38040	90474
592	38108	90418
593	38175	90361
594	38240	90299
595	38306	90239
596	38372	90177
597	38432	90104
598	38491	90027
599	38557	89967
600	38615	89887
601	38680	89825
602	38740	89753
603	38802	89681
604	38860	89603
605	38917	89522
606	38982	89460
607	39045	89394
608	39104	89317
609	39171	89259
610	39233	89191
611	39304	89141
612	39371	89083
613	39440	89031
614	39513	88984
615	39580	88926
616	39641	88855
617	39699	88778
618	39772	88733
619	39826	88647
620	39894	88591
621	39960	88529
622	40023	88462
623	40096	88418
624	40151	88334
625	40257	88360
626	40332	88320
627	40389	88239
628	40458	88184
629	40525	88126
630	40581	88045
631	40639	87966
632	40704	87904
633	40776	87855
634	40869	87853
635	40930	87781
636	40996	87720
637	41054	87643
638	41123	87589
639	41177	87502
640	41245	87445
641	41300	87362
642	41360	87287
643	41426	87227
644	41480	87140
645	41549	87086
646	41617	87029
647	41689	86981
648	41750	86909
649	41829	86876
650	41895	86815
651	41962	86757
652	42034	86707
653	42096	86638
654	42153	86558
655	42217	86493
656	42268	86402
657	42330	86332
658	42387	86254
659	42442	86170
660	42508	86110
661	42581	86062
662	42621	85950
663	42690	85895
664	42756	85835
665	42816	85761
666	42880	85696
667	42934	85612
668	42996	85544
669	43057	85472
670	43129	85423
671	43183	85339
672	43238	85257
673	43309	85205
674	43376	85147
675	43442	85086
676	43497	85003
677	43568	84951
678	43636	84894
679	43704	84838
680	43759	84755
681	43824	84693
682	43888	84629
683	43956	84571
684	44014	84495
685	44064	84404
686	44136	84353
687	44193	84276
688	44260	84217
689	44323	84150
690	44388	84087
691	44442	84003
692	44498	83923
693	44563	83861
694	44630	83801
695	44699	83746
696	44765	83686
697	44833	83629
698	44886	83544
699	44957	83491
700	45016	83418
701	45078	83350
702	45135	83272
703	45200	83209
704	45263	83143
705	45320	83065
706	45378	82990
707	45449	82938
708	45513	82874
709	45583	82820
710	45649	82760
711	45714	82697
712	45779	82634
713	45843	82570
714	45904	82499
715	45964	82427
716	46022	82352
717	46086	82288
718	46153	82229
719	46226	82179
720	46284	82105
721	46351	82046
722	46411	81973
723	46478	81914
724	46548	81860
725	46609	81791
726	46670	81722
727	46736	81661
728	46808	81610
729	46872	81546
730	46942	81491
731	47006	81425
732	47063	81349
733	47117	81267
734	47183	81207
735	47253	81152
736	47322	81096
737	47380	81021
738	47449	80965
739	47515	80904
740	47588	80855
741	47652	80791
742	47706	80710
743	47770	80644
744	47824	80563
745	47890	80501
746	47962	80451
747	48022	80379
748	48086	80315
749	48151	80252
750	48219	80194
751	48282	80127
752	48345	80061
753	48406	79993
754	48469	79926
755	48542	79876
756	48607	79813
757	48665	79738
758	48730	79676
759	48798	79617
760	48867	79562
761	48930	79496
762	48990	79424
763	49046	79348
764	49103	79272
765	49168	79209
766	49240	79156
767	49297	79081
768	49354	79005
769	49406	78921
770	49482	78876
771	49550	78818
772	49607	78743
773	49670	78677
774	49737	78618
775	49801	78552
776	49859	78479
777	49927	78420
778	50001	78371
779	50067	78311
780	50134	78250
781	50193	78177
782	50255	78111
783	50315	78040
784	50389	77991
785	50449	77920
786	50507	77847
787	50569	77779
788	50638	77722
789	50704	77661
790	50772	77603
791	50844	77550
792	50918	77501
793	50987	77444
794	51057	77389
795	51130	77338
796	51202	77286
797	51274	77232
798	51348	77183
799	51411	77116
800	51467	77040
801	51537	76984
802	51615	76941
803	51668	76859
804	51728	76788
805	51790	76721
806	51866	76675
807	51931	76612
808	52010	76569
809	52087	76522
810	52161	76473
811	52242	76434
812	52319	76388
813	52390	76333
814	52471	76292
815	52543	76238
816	52621	76195
817	52683	76127
818	52756	76074
819	52820	76010
820	52883	75943
821	52945	75875
822	53007	75807
823	53082	75758
824	53160	75713
825	53239	75670
826	53315	75621
827	53387	75567
828	53454	75506
829	53523	75448
830	53598	75399
831	53671	75345
832	53741	75289
833	53812	75234
834	53889	75187
835	53964	75137
836	54037	75084
837	54106	75025
838	54175	74967
839	54265	74938
840	54343	74892
841	54404	74822
842	54477	74769
843	54551	74717
844	54628	74669
845	54695	74608
846	54755	74536
847	54821	74473
848	54884	74407
849	54949	74342
850	55010	74273
851	55071	74203
852	55138	74142
853	55209	74086
854	55265	74010
855	55335	73953
856	55402	73891
857	55465	73824
858	55540	73773
859	55614	73721
860	55687	73667
861	55753	73605
862	55809	73528
863	55872	73461
864	55937	73398
865	55993	73322
866	56066	73267
867	56133	73206
868	56205	73150
869	56277	73095
870	56341	73030
871	56399	72957
872	56454	72880
873	56522	72819
874	56586	72753
875	56664	72706
876	56720	72630
877	56782	72562
878	56838	72486
879	56899	72417
880	56957	72344
881	57025	72283
882	57098	72230
883	57165	72167
884	57229	72102
885	57290	72033
886	57349	71961
887	57411	71893
888	57471	71823
889	57536	71758
890	57597	71690
891	57664	71628
892	57728	71562
893	57792	71497
894	57850	71424
895	57923	71369
896	57981	71297
897	58051	71239
898	58110	71167
899	58175	71103
900	58244	71043
901	58312	70983
902	58380	70923
903	58437	70848
904	58510	70794
905	58575	70730
906	58642	70668
907	58707	70604
908	58778	70547
909	58852	70493
910	58915	70427
911	58970	70351
912	59033	70284
913	59099	70220
914	59163	70155
915	59228	70091
916	59298	70033
917	59365	69970
918	59431	69907
919	59487	69832
920	59554	69771
921	59620	69707
922	59676	69632
923	59738	69565
924	59798	69495
925	59857	69424
926	59923	69361
927	59988	69297
928	60047	69225
929	60111	69160
930	60170	69088
931	60241	69032
932	60299	68960
933	60370	68902
934	60441	68845
935	60513	68788
936	60570	68715
937	60623	68638
938	60692	68578
939	60759	68515
940	60826	68453
941	60885	68382
942	60944	68312
943	61003	68241
944	61074	68183
945	61137	68117
946	61193	68043
947	61252	67971
948	61313	67903
949	61369	67829
950	61438	67769
951	61507	67709
952	61575	67648
953	61643	67587
954	61714	67530
955	61789	67477
956	61861	67420
957	61921	67351
958	61981	67281
959	62048	67219
960	62115	67157
961	62179	67091
962	62249	67032
963	62308	66961
964	62381	66906
965	62452	66848
966	62524	66791
967	62587	66725
968	62642	66650
969	62709	66588
970	62775	66524
971	62834	66454
972	62902	66393
973	62964	66325
974	63034	66266
975	63098	66201
976	63158	66131
977	63231	66076
978	63294	66009
979	63363	65949
980	63435	65893
981	63504	65833
982	63570	65768
983	63625	65694
984	63683	65623
985	63751	65562
986	63808	65489
987	63866	65417
988	63932	65354
989	63994	65287
990	64045	65209
991	64105	65139
992	64169	65074
993	64234	65009
994	64304	64950
995	64363	64880
996	64428	64816
997	64487	64745
998	64561	64690
999	64627	64627
1000	64685	64556
1001	64754	64495
1002	64817	64429
1003	64876	64359
1004	64937	64291
1005	65001	64226
1006	65069	64164
1007	65133	64099
1008	65196	64033
1009	65247	63955
1010	65313	63892
1011	65372	63822
1012	65445	63766
1013	65514	63705
1014	65577	63639
1015	65640	63572
1016	65715	63518
1017	65782	63456
1018	65839	63384
1019	65903	63319
1020	65968	63254
1021	66033	63190
1022	66112	63139
1023	66172	63071
1024	66247	63016
1025	66311	62950
1026	66382	62891
1027	66451	62831
1028	66512	62763
1029	66584	62706
1030	66647	62639
1031	66717	62580
1032	66787	62520
1033	66858	62461
1034	66925	62398
1035	66993	62337
1036	67062	62276
1037	67126	62211
1038	67195	62151
1039	67261	62087
1040	67333	62029
1041	67405	61971
1042	67470	61907
1043	67545	61852
1044	67611	61788
1045	67683	61730
1046	67741	61659
1047	67808	61597
1048	67863	61523
1049	67932	61462
1050	67993	61394
1051	68055	61327
1052	68119	61262
1053	68175	61190
1054	68246	61130
1055	68305	61060
1056	68367	60994
1057	68436	60933
1058	68496	60864
1059	68570	60807
1060	68639	60747
1061	68707	60685
1062	68774	60622
1063	68834	60553
1064	68892	60483
1065	68961	60422
1066	69030	60361
1067	69096	60297
1068	69164	60235
1069	69236	60177
1070	69294	60106
1071	69357	60040
1072	69424	59977
1073	69494	59917
1074	69561	59855
1075	69633	59796
1076	69705	59738
1077	69778	59680
1078	69835	59608
1079	69899	59544
1080	69958	59474
1081	70018	59405
1082	70104	59358
1083	70181	59304
1084	70245	59239
1085	70317	59180
1086	70393	59125
1087	70470	59070
1088	70544	59013
1089	70613	58952
1090	70684	58892
1091	70760	58837
1092	70831	58777
1093	70909	58724
1094	70988	58670
1095	71058	58609
1096	71125	58547
1097	71194	58486
1098	71285	58442
1099	71355	58381
1100	71430	58325
1101	71504	58267
1102	71569	58202
1103	71642	58145
1104	71710	58082
1105	71831	58062
1106	71907	58006
1107	71983	57950
1108	72063	57897
1109	72128	57832
1110	72207	57778
1111	72280	57720
1112	72355	57663
1113	72418	57596
1114	72482	57531
1115	72550	57468
1116	72608	57398
1117	72682	57340
1118	72751	57277
1119	72812	57209
1120	72885	57151
1121	72948	57084
1122	73023	57027
1123	73099	56970
1124	73165	56906
1125	73228	56839
1126	73297	56777
1127	73359	56710
1128	73428	56648
1129	73489	56580
1130	73542	56505
1131	73617	56448
1132	73683	56384
1133	73746	56317
1134	73821	56260
1135	73895	56202
1136	73971	56145
1137	74030	56076
1138	74093	56009
1139	74165	55949
1140	74231	55884
1141	74292	55817
1142	74358	55752
1143	74425	55689
1144	74498	55630
1145	74561	55563
1146	74627	55498
1147	74690	55432
1148	74750	55363
1149	74822	55303
1150	74890	55240
1151	74955	55175
1152	75017	55108
1153	75076	55038
1154	75151	54981
1155	75210	54911
1156	75278	54848
1157	75338	54779
1158	75405	54715
1159	75468	54649
1160	75537	54587
1161	75608	54526
1162	75670	54459
1163	75730	54390
1164	75804	54331
1165	75873	54269
1166	75936	54203
1167	76006	54141
1168	76081	54083
1169	76152	54022
1170	76209	53951
1171	76265	53880
1172	76335	53818
1173	76406	53758
1174	76484	53702
1175	76555	53641
1176	76618	53574
1177	76676	53504
1178	76730	53431
1179	76797	53367
1180	76866	53305
1181	76924	53235
1182	76993	53172
1183	77062	53110
1184	77127	53045
1185	77182	52973
1186	77239	52903
1187	77317	52846
1188	77384	52782
1189	77453	52720
1190	77524	52659
1191	77595	52597
1192	77654	52529
1193	77709	52457
1194	77780	52396
1195	77852	52335
1196	77902	52260
1197	77964	52193
1198	78022	52123
1199	78080	52053
1200	78141	51985
1201	78203	51918
1202	78260	51848
1203	78323	51781
1204	78390	51718
1205	78455	51653
1206	78516	51585
1207	78587	51524
1208	78653	51459
1209	78714	51391
1210	78776	51325
1211	78847	51263
1212	78906	51195
1213	78969	51128
1214	79036	51064
1215	79106	51003
1216	79161	50931
1217	79230	50868
1218	79283	50796
1219	79358	50737
1220	79418	50669
1221	79488	50607
1222	79557	50544
1223	79621	50478
1224	79685	50413
1225	79750	50348
1226	79803	50275
1227	79877	50216
1228	79935	50146
1229	80003	50083
1230	80063	50015
1231	80140	49957
1232	80200	49889
1233	80258	49820
1234	80319	49752
1235	80373	49680
1236	80435	49613
1237	80501	49549
1238	80575	49489
1239	80636	49422
1240	80699	49356
1241	80760	49288
1242	80828	49225
1243	80906	49167
1244	80974	49104
1245	81035	49037
1246	81104	48974
1247	81172	48911
1248	81226	48839
1249	81295	48777
1250	81358	48711
1251	81419	48643
1252	81476	48573
1253	81543	48510
1254	81612	48447
1255	81674	48380
1256	81747	48320
1257	81813	48255
1258	81877	48189
1259	81944	48126
1260	82017	48065
1261	82077	47997
1262	82147	47935
1263	82222	47876
1264	82286	47810
1265	82354	47747
1266	82426	47686
1267	82484	47617
1268	82555	47555
1269	82621	47490
1270	82693	47430
1271	82752	47361
1272	82820	47298
1273	82882	47231
1274	82940	47162
1275	83009	47099
1276	83078	47036
1277	83149	46975
